query,url,__term,searchQuery
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Corinthians+hoje+Feminino&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChDVAnoECC8QAQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Jogo+do+Corinthians:+onde+assistir&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChDVAnoECDAQAQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Meu+tim%C3%A3o&sa=X&ved=2ahUKEwi369m2-sSQAxXY5TQHHckYIX8Q1QJ6BQiMARAB,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=ESPN+Corinthians&sa=X&ved=2ahUKEwi369m2-sSQAxXY5TQHHckYIX8Q1QJ6BQiNARAB,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Meu+Tim%C3%A3o+loja&sa=X&ved=2ahUKEwi369m2-sSQAxXY5TQHHckYIX8Q1QJ6BQiOARAB,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Central+do+Tim%C3%A3o&sa=X&ved=2ahUKEwi369m2-sSQAxXY5TQHHckYIX8Q1QJ6BQiPARAB,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=UOL+Corinthians&sa=X&ved=2ahUKEwi369m2-sSQAxXY5TQHHckYIX8Q1QJ6BQiXARAB,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Gazeta+esportiva+Corinthians&sa=X&ved=2ahUKEwi369m2-sSQAxXY5TQHHckYIX8Q1QJ6BQiUARAB,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Lance+Corinthians&sa=X&ved=2ahUKEwi369m2-sSQAxXY5TQHHckYIX8Q1QJ6BQiLARAB,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Terra+Corinthians&sa=X&ved=2ahUKEwi369m2-sSQAxXY5TQHHckYIX8Q1QJ6BQiRARAB,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
